Nome,Adicionado em,Ano,Classificação,Filmes Ligados,Gêneros,ID,Minutagem,Prioridade,Próximos Filmes,Status
Os Infiltrados,21 de setembro de 2024 16:10,2006,,,"Crime, Thriller",91,,Yes,Yes,Não iniciada
Donnie Darko,22 de setembro de 2024 07:05,2001,,,"Ficção científica, Thriller",93,,No,No,Não iniciada
O Túmulo dos Vagalumes,28 de setembro de 2024 17:56,1988,"9,8",Studio Ghibli,"Drama, Guerra",94,,No,No,Concluído
Laranja Mecânica,3 de outubro de 2024 09:49,1972,,,"Crime, Ficção científica",95,,No,No,Não iniciada
O Menino e a Garça,12 de outubro de 2024 19:26,2023,"9,2",Studio Ghibli,"Aventura, Fantasia",96,,No,No,Concluído
Encontro Marcado,20 de outubro de 2024 22:15,1998,,,"Drama, Romance",97,,No,No,Não iniciada
Amor a Toda Prova,15 de novembro de 2024 10:32,2011,,,"Drama, Romance",98,,No,No,Não iniciada
Meu Primeiro Amor,15 de novembro de 2024 10:34,1991,,,"Drama, Romance",99,31:00,No,No,Dropei
10 Coisas que Eu Odeio em Você,15 de novembro de 2024 13:42,1999,"8,1",,"Comédia, Romance",102,,No,No,Concluído
Por Lugares Incriveis,26 de novembro de 2024 13:44,2020,"7,5",,"Drama, Romance",103,,No,No,Concluído
Antes do Pôr do Sol,26 de novembro de 2024 13:45,2004,"8,5",Trilogia Antes,"Drama, Romance",104,,No,No,Concluído
Antes da Meia Noite,26 de novembro de 2024 13:46,2013,,Trilogia Antes,"Drama, Romance",105,,No,No,Não iniciada
Show de Vizinha,26 de novembro de 2024 13:48,2004,8,,"Comédia, Romance",106,,No,No,Concluído
Gladiador 2,4 de dezembro de 2024 10:30,2024,"8,5",,"Aventura, Ação",107,,No,No,Concluído
O Castelo Animado,4 de dezembro de 2024 18:19,2004,"9,7",Studio Ghibli,"Fantasia, Romance",108,,No,No,Concluído
Contos de Terramar,4 de dezembro de 2024 18:21,2006,"8,5",Studio Ghibli,"Fantasia, Romance",109,,No,No,Concluído
Porco Rosso,4 de dezembro de 2024 18:23,1992,"9,4",Studio Ghibli,"Fantasia, Guerra",110,,No,No,Concluído
O Castelo no Céu,4 de dezembro de 2024 18:25,1986,"9,9",Studio Ghibli,"Fantasia, Romance",111,,No,No,Concluído
O Mundo dos Pequeninos,5 de dezembro de 2024 11:44,2010,"9,3",Studio Ghibli,"Aventura, Fantasia",112,,No,No,Concluído
O Serviço de Entregas da Kiki,6 de dezembro de 2024 13:03,1989,"9,2",Studio Ghibli,"Aventura, Fantasia",113,,No,No,Concluído
Tropa de Elite,9 de dezembro de 2024 23:45,2007,"8,8",,"Ação, Crime",114,,No,No,Concluído
O Reino dos Gatos,9 de dezembro de 2024 23:45,2002,9,Studio Ghibli,"Aventura, Fantasia",115,,No,No,Concluído
"Sussurros do Coração ",12 de dezembro de 2024 11:46,1995,"9,3",Studio Ghibli,"Fantasia, Romance",116,,No,No,Concluído
Tropa de Elite 2,12 de dezembro de 2024 18:48,2010,8,,"Ação, Crime",117,,No,No,Concluído
De Olhos Bem Fechados,19 de dezembro de 2024 20:15,1999,"8,7",,"Mistério, Thriller",118,,No,No,Concluído
O Grinch,25 de dezembro de 2024 22:14,2000,"9,1",,"Comédia, Fantasia",119,,No,No,Concluído
Klaus,25 de dezembro de 2024 22:15,2019,"9,3",,"Aventura, Comédia",120,,No,No,Concluído
Jackie Brown,1 de fevereiro de 2025 21:47,1997,,Quentin Tarantino,"Crime, Thriller",121,,No,Yes,Não iniciada
À Prova de Morte,1 de fevereiro de 2025 21:47,2007,,Quentin Tarantino,"Ação, Terror",122,,No,Yes,Não iniciada
Os Suspeitos,4 de fevereiro de 2025 10:56,1995,"9,8",,"Crime, Thriller",123,,No,No,Concluído
Nada de Novo no Front,4 de fevereiro de 2025 10:56,2022,"8,8",,"Ação, Guerra",124,,No,No,Concluído
Onze Homens e um Segredo,14 de abril de 2025 10:37,2001,"9,1",,"Ação, Thriller",125,,No,No,Concluído
PomPoko,14 de abril de 2025 10:43,1994,"9,2",Studio Ghibli,"Aventura, Fantasia",126,,No,No,Concluído
Operação Vingança,14 de abril de 2025 11:14,2025,,,"Ação, Thriller",127,,No,No,Não iniciada
Parasita,14 de abril de 2025 11:14,2019,9,,"Ação, Terror",128,,No,No,Concluído
Fuga de Alcatraz,21 de abril de 2025 08:47,1979,"8,3",,"Ação, Crime",131,,No,No,Concluído
O Rei,21 de abril de 2025 08:54,2019,,,"Guerra, Romance",132,1:30:00,Yes,Yes,Em andamento
Vidas as vento,30 de abril de 2025 22:18,2013,10,Studio Ghibli,"Guerra, Romance",133,,No,No,Concluído
Brilho Eterno de uma Mente sem Lembranças,15 de junho de 2025 19:11,2004,,,"Ficção científica, Romance",134,,Yes,Yes,Não iniciada
Hora de Voltar,15 de junho de 2025 19:12,2004,,,"Comédia, Romance",135,,No,No,Não iniciada
Ela,15 de junho de 2025 19:13,2013,9,,"Ficção científica, Romance",136,,No,No,Concluído
O Culpado,6 de julho de 2025 16:48,2021,"8,2",,"Crime, Suspense",137,,No,No,Concluído
Nefarius,6 de julho de 2025 16:48,2023,8,,"Drama, Terror",138,,No,No,Concluído
Harakiri,6 de julho de 2025 16:53,1962,10,,"Ação, Mistério",139,,No,No,Concluído
Rocky Um Lutador,11 de julho de 2025 08:35,1976,"8,8",Rocky,"Ação, Esporte",140,,No,No,Concluído
Rocky II,11 de julho de 2025 08:37,1979,,Rocky,"Ação, Esporte",141,,No,No,Não iniciada
Rocky III,11 de julho de 2025 08:38,1982,,Rocky,"Ação, Esporte",142,,No,No,Não iniciada
Rocky IV,11 de julho de 2025 08:38,1985,,Rocky,"Ação, Esporte",143,,No,No,Não iniciada
Amor de Aluguel,8 de agosto de 2025 09:32,2003,"8,8",,"Comédia, Romance",144,,No,No,Concluído
Ruby Sparks,8 de agosto de 2025 09:38,2012,,,"Fantasia, Romance",145,,No,No,Não iniciada
Requiem para um Sonho,21 de agosto de 2025 08:53,2000,,,"Drama, Terror",146,,No,No,Não iniciada
As linhas tortas de Deus,21 de agosto de 2025 08:59,2000,,,"Mistério, Thriller",147,,No,No,Não iniciada
Tenet,21 de agosto de 2025 09:09,2020,"8,6",,"Ação, Ficção científica",148,,No,No,Concluído
Scarface,2 de setembro de 2025 17:36,1983,8,,"Crime, Thriller",149,,No,No,Concluído
Meu amigo Totoro,2 de setembro de 2025 20:08,1988,"9,5",Studio Ghibli,"Aventura, Fantasia",150,,No,No,Concluído
Ponyo,9 de novembro de 2025 22:25,2008,"9,6",Studio Ghibli,"Aventura, Romance",151,,No,No,Concluído
Sonic 3,30 de novembro de 2025 22:54,2024,"9,4",,"Aventura, Comédia",152,,No,No,Concluído
Sete Homens e um Destino,30 de novembro de 2025 22:54,2016,"8,4",,"Aventura, Ação",153,,No,No,Concluído
O Regresso,5 de fevereiro de 2026 16:52,2015,,,"Aventura, Faroeste",154,,No,No,Não iniciada
A Loja da Esquina,18 de março de 2026 22:13,1940,,,"Comédia, Romance",155,,No,No,Não iniciada
A Hora do Rush,18 de março de 2026 22:16,1998,"8,4",,"Ação, Comédia",156,,No,No,Concluído
Dias Perfeitos,30 de março de 2026 11:41,2023,"9,5",,"Drama, Romance",157,,No,No,Concluído
Não Me Abandone Jamais,30 de março de 2026 11:44,2010,,,"Ficção científica, Romance",158,,No,No,Não iniciada
Memorias de um Assassinato,22 de maio de 2026 19:32,2003,,,"Crime, Thriller",159,12:00,No,No,Em andamento
Quebrando a Banca,26 de maio de 2026 20:51,2008,8,,"Ação, Crime",160,,No,No,Concluído
O Hobbit 1,26 de maio de 2026 20:54,2012,9,Trilogia Senhor dos Anéis,"Aventura, Ação",162,,No,No,Concluído
As Memorias de Marnie,29 de maio de 2026 23:34,2014,"9,3",Studio Ghibli,"Aventura, Fantasia",163,,No,No,Concluído
Nausica do Vale do Vento,29 de maio de 2026 23:41,1984,"9,4",Studio Ghibli,"Aventura, Fantasia",164,,No,No,Concluído
A Odisseia,4 de agosto de 2026 23:22,2026,"9,4",,"Aventura, Ação",165,,No,No,Concluído
O Hobbit 2,4 de agosto de 2026 23:22,2013,"9,1",,"Aventura, Ação",166,,No,No,Concluído
O Hobbit 3,4 de agosto de 2026 23:22,2014,9,,"Aventura, Ação",167,,No,No,Concluído
Desafio no Bronx,4 de agosto de 2026 23:28,1993,,,"Crime, Suspense",168,,No,Yes,Não iniciada
Caminhos Perigosos,4 de agosto de 2026 23:29,1973,,,"Crime, Thriller",169,,No,Yes,Não iniciada
Marty Supreme,17 de agosto de 2026 22:32,2025,,,"Drama, Esporte",170,,No,Yes,Não iniciada
Era uma Vez na América,17 de agosto de 2026 22:34,1984,,,"Crime, Thriller",171,,No,No,Não iniciada
Amor a Flor da Pele,17 de agosto de 2026 22:35,2000,,,"Drama, Romance",172,,No,Yes,Não iniciada
Cinema Paradiso,17 de agosto de 2026 22:36,1988,,,"Drama, Romance",173,,No,No,Não iniciada
O Setimo Selo,17 de agosto de 2026 22:38,1957,,,"Fantasia, Thriller",174,,No,No,Não iniciada
